year,shadow,name,city,region,country,latitude,longitude,is_groundhog,type,active,was_spring
2023,TRUE,Polk County Paula,Des Moines,Iowa,USA,41.5830468,-93.6206605,FALSE,Person in a groundhog suit,TRUE,TRUE
2014,TRUE,Chesapeake Chuck,Newport News,Virginia,USA,37.0699814,-76.4818192,TRUE,Groundhog,TRUE,TRUE
2015,FALSE,Chesapeake Chuck,Newport News,Virginia,USA,37.0699814,-76.4818192,TRUE,Groundhog,TRUE,FALSE
2016,TRUE,Chesapeake Chuck,Newport News,Virginia,USA,37.0699814,-76.4818192,TRUE,Groundhog,TRUE,TRUE
2017,FALSE,Chesapeake Chuck,Newport News,Virginia,USA,37.0699814,-76.4818192,TRUE,Groundhog,TRUE,TRUE
2018,TRUE,Chesapeake Chuck,Newport News,Virginia,USA,37.0699814,-76.4818192,TRUE,Groundhog,TRUE,TRUE
2020,FALSE,Chesapeake Chuck,Newport News,Virginia,USA,37.0699814,-76.4818192,TRUE,Groundhog,TRUE,FALSE
2021,FALSE,Chesapeake Chuck,Newport News,Virginia,USA,37.0699814,-76.4818192,TRUE,Groundhog,TRUE,FALSE
2022,FALSE,Chesapeake Chuck,Newport News,Virginia,USA,37.0699814,-76.4818192,TRUE,Groundhog,TRUE,FALSE
2023,FALSE,Chesapeake Chuck,Newport News,Virginia,USA,37.0699814,-76.4818192,TRUE,Groundhog,TRUE,FALSE
2015,TRUE,Scramble the Duck,Eastford,Connecticut,USA,41.901251,-72.0815198,FALSE,Pekin duck,TRUE,TRUE
2016,FALSE,Scramble the Duck,Eastford,Connecticut,USA,41.901251,-72.0815198,FALSE,Pekin duck,TRUE,FALSE
2017,TRUE,Scramble the Duck,Eastford,Connecticut,USA,41.901251,-72.0815198,FALSE,Pekin duck,TRUE,TRUE
2018,TRUE,Scramble the Duck,Eastford,Connecticut,USA,41.901251,-72.0815198,FALSE,Pekin duck,TRUE,TRUE
2019,TRUE,Scramble the Duck,Eastford,Connecticut,USA,41.901251,-72.0815198,FALSE,Pekin duck,TRUE,TRUE
2020,TRUE,Scramble the Duck,Eastford,Connecticut,USA,41.901251,-72.0815198,FALSE,Pekin duck,TRUE,TRUE
2021,TRUE,Scramble the Duck,Eastford,Connecticut,USA,41.901251,-72.0815198,FALSE,Pekin duck,TRUE,TRUE
2022,TRUE,Scramble the Duck,Eastford,Connecticut,USA,41.901251,-72.0815198,FALSE,Pekin duck,TRUE,TRUE
2023,TRUE,Scramble the Duck,Eastford,Connecticut,USA,41.901251,-72.0815198,FALSE,Pekin duck,TRUE,TRUE
2015,FALSE,Snerd,Garner,North Carolina,USA,35.6800912,-78.6279155,TRUE,Groundhog,TRUE,FALSE
2016,FALSE,Snerd,Garner,North Carolina,USA,35.6800912,-78.6279155,TRUE,Groundhog,TRUE,FALSE
2017,TRUE,Snerd,Garner,North Carolina,USA,35.6800912,-78.6279155,TRUE,Groundhog,TRUE,FALSE
2018,FALSE,Snerd,Garner,North Carolina,USA,35.6800912,-78.6279155,TRUE,Groundhog,TRUE,FALSE
2019,TRUE,Snerd,Garner,North Carolina,USA,35.6800912,-78.6279155,TRUE,Groundhog,TRUE,TRUE
2020,TRUE,Snerd,Garner,North Carolina,USA,35.6800912,-78.6279155,TRUE,Groundhog,TRUE,TRUE
2021,TRUE,Snerd,Garner,North Carolina,USA,35.6800912,-78.6279155,TRUE,Groundhog,TRUE,TRUE
2022,TRUE,Snerd,Garner,North Carolina,USA,35.6800912,-78.6279155,TRUE,Groundhog,TRUE,TRUE
2023,TRUE,Snerd,Garner,North Carolina,USA,35.6800912,-78.6279155,TRUE,Groundhog,TRUE,TRUE
2015,FALSE,Snowy the Prairie Dog,Pend Oreille County,Washington,USA,48.5224835,-117.8912722,FALSE,Prairie dog,TRUE,FALSE
2016,FALSE,Snowy the Prairie Dog,Pend Oreille County,Washington,USA,48.5224835,-117.8912722,FALSE,Prairie dog,TRUE,FALSE
2017,TRUE,Snowy the Prairie Dog,Pend Oreille County,Washington,USA,48.5224835,-117.8912722,FALSE,Prairie dog,TRUE,TRUE
2018,FALSE,Snowy the Prairie Dog,Pend Oreille County,Washington,USA,48.5224835,-117.8912722,FALSE,Prairie dog,TRUE,FALSE
2019,FALSE,Snowy the Prairie Dog,Pend Oreille County,Washington,USA,48.5224835,-117.8912722,FALSE,Prairie dog,TRUE,FALSE
2020,TRUE,Snowy the Prairie Dog,Pend Oreille County,Washington,USA,48.5224835,-117.8912722,FALSE,Prairie dog,TRUE,TRUE
2021,FALSE,Snowy the Prairie Dog,Pend Oreille County,Washington,USA,48.5224835,-117.8912722,FALSE,Prairie dog,TRUE,FALSE
2022,TRUE,Snowy the Prairie Dog,Pend Oreille County,Washington,USA,48.5224835,-117.8912722,FALSE,Prairie dog,TRUE,TRUE
2023,FALSE,Snowy the Prairie Dog,Pend Oreille County,Washington,USA,48.5224835,-117.8912722,FALSE,Prairie dog,TRUE,FALSE
2011,FALSE,Tinicum Tim,Philadelphia,Pennsylvania,USA,39.8921524,-75.2572137,FALSE,Groundhog puppet,TRUE,FALSE
2012,TRUE,Tinicum Tim,Philadelphia,Pennsylvania,USA,39.8921524,-75.2572137,FALSE,Groundhog puppet,TRUE,TRUE
2014,TRUE,Tinicum Tim,Philadelphia,Pennsylvania,USA,39.8921524,-75.2572137,FALSE,Groundhog puppet,TRUE,FALSE
2015,TRUE,Tinicum Tim,Philadelphia,Pennsylvania,USA,39.8921524,-75.2572137,FALSE,Groundhog puppet,TRUE,TRUE
2018,TRUE,Tinicum Tim,Philadelphia,Pennsylvania,USA,39.8921524,-75.2572137,FALSE,Groundhog puppet,TRUE,TRUE
2019,TRUE,Tinicum Tim,Philadelphia,Pennsylvania,USA,39.8921524,-75.2572137,FALSE,Groundhog puppet,TRUE,TRUE
2020,FALSE,Tinicum Tim,Philadelphia,Pennsylvania,USA,39.8921524,-75.2572137,FALSE,Groundhog puppet,TRUE,FALSE
2021,FALSE,Tinicum Tim,Philadelphia,Pennsylvania,USA,39.8921524,-75.2572137,FALSE,Groundhog puppet,TRUE,FALSE
2023,FALSE,Tinicum Tim,Philadelphia,Pennsylvania,USA,39.8921524,-75.2572137,FALSE,Groundhog puppet,TRUE,FALSE
2011,FALSE,Wildwood Willie,Toledo,Ohio,USA,41.6818106,-83.6675126,FALSE,Taxidermied groundhog,TRUE,FALSE
2012,FALSE,Wildwood Willie,Toledo,Ohio,USA,41.6818106,-83.6675126,FALSE,Taxidermied groundhog,TRUE,FALSE
2017,TRUE,Wildwood Willie,Toledo,Ohio,USA,41.6818106,-83.6675126,FALSE,Taxidermied groundhog,TRUE,TRUE
2018,TRUE,Wildwood Willie,Toledo,Ohio,USA,41.6818106,-83.6675126,FALSE,Taxidermied groundhog,TRUE,TRUE
2019,TRUE,Wildwood Willie,Toledo,Ohio,USA,41.6818106,-83.6675126,FALSE,Taxidermied groundhog,TRUE,TRUE
2020,TRUE,Wildwood Willie,Toledo,Ohio,USA,41.6818106,-83.6675126,FALSE,Taxidermied groundhog,TRUE,TRUE
2021,TRUE,Wildwood Willie,Toledo,Ohio,USA,41.6818106,-83.6675126,FALSE,Taxidermied groundhog,TRUE,TRUE
2022,FALSE,Wildwood Willie,Toledo,Ohio,USA,41.6818106,-83.6675126,FALSE,Taxidermied groundhog,TRUE,FALSE
2023,TRUE,Wildwood Willie,Toledo,Ohio,USA,41.6818106,-83.6675126,FALSE,Taxidermied groundhog,TRUE,TRUE
2015,TRUE,Benny the Bass,Buckeye Lake,Ohio,USA,39.9335365,-82.501816,FALSE,Largemouth bass,TRUE,TRUE
2016,TRUE,Benny the Bass,Buckeye Lake,Ohio,USA,39.9335365,-82.501816,FALSE,Largemouth bass,TRUE,TRUE
2017,FALSE,Benny the Bass,Buckeye Lake,Ohio,USA,39.9335365,-82.501816,FALSE,Largemouth bass,TRUE,FALSE
2018,TRUE,Benny the Bass,Buckeye Lake,Ohio,USA,39.9335365,-82.501816,FALSE,Largemouth bass,TRUE,TRUE
2019,FALSE,Benny the Bass,Buckeye Lake,Ohio,USA,39.9335365,-82.501816,FALSE,Largemouth bass,TRUE,TRUE
2020,TRUE,Benny the Bass,Buckeye Lake,Ohio,USA,39.9335365,-82.501816,FALSE,Largemouth bass,TRUE,TRUE
2022,FALSE,Benny the Bass,Buckeye Lake,Ohio,USA,39.9335365,-82.501816,FALSE,Largemouth bass,TRUE,FALSE
2023,FALSE,Benny the Bass,Buckeye Lake,Ohio,USA,39.9335365,-82.501816,FALSE,Largemouth bass,TRUE,FALSE
2016,TRUE,Harleysville Hank,Harleysville,Pennsylvania,USA,40.290503,-75.3823447,FALSE,Plush groundhog,TRUE,TRUE
2017,FALSE,Harleysville Hank,Harleysville,Pennsylvania,USA,40.290503,-75.3823447,FALSE,Plush groundhog,TRUE,FALSE
2018,TRUE,Harleysville Hank,Harleysville,Pennsylvania,USA,40.290503,-75.3823447,FALSE,Plush groundhog,TRUE,TRUE
2019,FALSE,Harleysville Hank,Harleysville,Pennsylvania,USA,40.290503,-75.3823447,FALSE,Plush groundhog,TRUE,FALSE
2020,FALSE,Harleysville Hank,Harleysville,Pennsylvania,USA,40.290503,-75.3823447,FALSE,Plush groundhog,TRUE,FALSE
2021,FALSE,Harleysville Hank,Harleysville,Pennsylvania,USA,40.290503,-75.3823447,FALSE,Plush groundhog,TRUE,FALSE
2022,FALSE,Harleysville Hank,Harleysville,Pennsylvania,USA,40.290503,-75.3823447,FALSE,Plush groundhog,TRUE,FALSE
2023,FALSE,Harleysville Hank,Harleysville,Pennsylvania,USA,40.290503,-75.3823447,FALSE,Plush groundhog,TRUE,FALSE
2014,TRUE,Oil Springs Ollie,Oil Springs,Ontario,Canada,42.7669782,-82.1832562,TRUE,Groundhog,FALSE,FALSE
2015,TRUE,Oil Springs Ollie,Oil Springs,Ontario,Canada,42.7669782,-82.1832562,TRUE,Groundhog,FALSE,TRUE
2016,FALSE,Oil Springs Ollie,Oil Springs,Ontario,Canada,42.7669782,-82.1832562,TRUE,Groundhog,FALSE,TRUE
2017,TRUE,Oil Springs Ollie,Oil Springs,Ontario,Canada,42.7669782,-82.1832562,TRUE,Groundhog,FALSE,TRUE
2018,TRUE,Oil Springs Ollie,Oil Springs,Ontario,Canada,42.7669782,-82.1832562,TRUE,Groundhog,FALSE,TRUE
2019,TRUE,Oil Springs Ollie,Oil Springs,Ontario,Canada,42.7669782,-82.1832562,TRUE,Groundhog,FALSE,TRUE
2020,FALSE,Oil Springs Ollie,Oil Springs,Ontario,Canada,42.7669782,-82.1832562,TRUE,Groundhog,FALSE,FALSE
2021,FALSE,Oil Springs Ollie,Oil Springs,Ontario,Canada,42.7669782,-82.1832562,TRUE,Groundhog,FALSE,FALSE
2017,TRUE,Potomac Phil,Washington DC,District of Columbia,USA,38.9097387,-77.043891,FALSE,Taxidermied groundhog,TRUE,TRUE
2018,TRUE,Potomac Phil,Washington DC,District of Columbia,USA,38.9097387,-77.043891,FALSE,Taxidermied groundhog,TRUE,FALSE
2019,TRUE,Potomac Phil,Washington DC,District of Columbia,USA,38.9097387,-77.043891,FALSE,Taxidermied groundhog,TRUE,TRUE
2020,TRUE,Potomac Phil,Washington DC,District of Columbia,USA,38.9097387,-77.043891,FALSE,Taxidermied groundhog,TRUE,TRUE
2021,FALSE,Potomac Phil,Washington DC,District of Columbia,USA,38.9097387,-77.043891,FALSE,Taxidermied groundhog,TRUE,FALSE
2022,TRUE,Potomac Phil,Washington DC,District of Columbia,USA,38.9097387,-77.043891,FALSE,Taxidermied groundhog,TRUE,TRUE
2023,FALSE,Potomac Phil,Washington DC,District of Columbia,USA,38.9097387,-77.043891,FALSE,Taxidermied groundhog,TRUE,FALSE
2016,FALSE,Smith Lake Jake,Smith Lake,Alabama,USA,34.7159524,-86.5418817,TRUE,Groundhog,TRUE,FALSE
2017,FALSE,Smith Lake Jake,Smith Lake,Alabama,USA,34.7159524,-86.5418817,TRUE,Groundhog,TRUE,FALSE
2018,FALSE,Smith Lake Jake,Smith Lake,Alabama,USA,34.7159524,-86.5418817,TRUE,Groundhog,TRUE,FALSE
2019,TRUE,Smith Lake Jake,Smith Lake,Alabama,USA,34.7159524,-86.5418817,TRUE,Groundhog,TRUE,TRUE
2020,FALSE,Smith Lake Jake,Smith Lake,Alabama,USA,34.7159524,-86.5418817,TRUE,Groundhog,TRUE,FALSE
2021,FALSE,Smith Lake Jake,Smith Lake,Alabama,USA,34.7159524,-86.5418817,TRUE,Groundhog,TRUE,TRUE
2022,TRUE,Smith Lake Jake,Smith Lake,Alabama,USA,34.7159524,-86.5418817,TRUE,Groundhog,TRUE,TRUE
2017,FALSE,Van Island Violet,Nanaimo,British Columbia,Canada,49.159641,-124.0503748,FALSE,Vancouver Island marmot,TRUE,FALSE
2018,FALSE,Van Island Violet,Nanaimo,British Columbia,Canada,49.159641,-124.0503748,FALSE,Vancouver Island marmot,TRUE,FALSE
2019,TRUE,Van Island Violet,Nanaimo,British Columbia,Canada,49.159641,-124.0503748,FALSE,Vancouver Island marmot,TRUE,TRUE
2020,TRUE,Van Island Violet,Nanaimo,British Columbia,Canada,49.159641,-124.0503748,FALSE,Vancouver Island marmot,TRUE,TRUE
2021,FALSE,Van Island Violet,Nanaimo,British Columbia,Canada,49.159641,-124.0503748,FALSE,Vancouver Island marmot,TRUE,TRUE
2022,TRUE,Van Island Violet,Nanaimo,British Columbia,Canada,49.159641,-124.0503748,FALSE,Vancouver Island marmot,TRUE,TRUE
2023,TRUE,Van Island Violet,Nanaimo,British Columbia,Canada,49.159641,-124.0503748,FALSE,Vancouver Island marmot,TRUE,TRUE
2014,TRUE,Chuck Wood,Quincy,California,USA,39.9362979,-120.9523743,FALSE,Animatronic groundhog,TRUE,TRUE
2019,TRUE,Chuck Wood,Quincy,California,USA,39.9362979,-120.9523743,FALSE,Animatronic groundhog,TRUE,FALSE
2020,TRUE,Chuck Wood,Quincy,California,USA,39.9362979,-120.9523743,FALSE,Animatronic groundhog,TRUE,TRUE
2021,TRUE,Chuck Wood,Quincy,California,USA,39.9362979,-120.9523743,FALSE,Animatronic groundhog,TRUE,TRUE
2022,TRUE,Chuck Wood,Quincy,California,USA,39.9362979,-120.9523743,FALSE,Animatronic groundhog,TRUE,TRUE
2023,FALSE,Chuck Wood,Quincy,California,USA,39.9362979,-120.9523743,FALSE,Animatronic groundhog,TRUE,FALSE
2018,TRUE,Concord Casimir,Concord,Ohio,USA,41.6904499,-81.2526303,FALSE,Cat,TRUE,TRUE
2019,FALSE,Concord Casimir,Concord,Ohio,USA,41.6904499,-81.2526303,FALSE,Cat,TRUE,FALSE
2020,TRUE,Concord Casimir,Concord,Ohio,USA,41.6904499,-81.2526303,FALSE,Cat,TRUE,TRUE
2021,TRUE,Concord Casimir,Concord,Ohio,USA,41.6904499,-81.2526303,FALSE,Cat,TRUE,TRUE
2022,FALSE,Concord Casimir,Concord,Ohio,USA,41.6904499,-81.2526303,FALSE,Cat,TRUE,FALSE
2023,FALSE,Concord Casimir,Concord,Ohio,USA,41.6904499,-81.2526303,FALSE,Cat,TRUE,FALSE
2019,FALSE,Cluxatawney Henrietta,Katonah,New York,USA,41.2634599,-73.7307821,FALSE,Ameraucana chicken,TRUE,FALSE
2020,FALSE,Cluxatawney Henrietta,Katonah,New York,USA,41.2634599,-73.7307821,FALSE,Ameraucana chicken,TRUE,FALSE
2021,FALSE,Cluxatawney Henrietta,Katonah,New York,USA,41.2634599,-73.7307821,FALSE,Ameraucana chicken,TRUE,FALSE
2022,FALSE,Cluxatawney Henrietta,Katonah,New York,USA,41.2634599,-73.7307821,FALSE,Ameraucana chicken,TRUE,FALSE
2023,FALSE,Cluxatawney Henrietta,Katonah,New York,USA,41.2634599,-73.7307821,FALSE,Ameraucana chicken,TRUE,FALSE
2019,FALSE,Gordy the Groundhog,Milwaukee,Wisconsin,USA,43.0315284,-88.0424457,TRUE,Groundhog,TRUE,FALSE
2020,TRUE,Gordy the Groundhog,Milwaukee,Wisconsin,USA,43.0315284,-88.0424457,TRUE,Groundhog,TRUE,TRUE
2021,FALSE,Gordy the Groundhog,Milwaukee,Wisconsin,USA,43.0315284,-88.0424457,TRUE,Groundhog,TRUE,FALSE
2022,FALSE,Gordy the Groundhog,Milwaukee,Wisconsin,USA,43.0315284,-88.0424457,TRUE,Groundhog,TRUE,FALSE
2023,TRUE,Gordy the Groundhog,Milwaukee,Wisconsin,USA,43.0315284,-88.0424457,TRUE,Groundhog,TRUE,TRUE
2018,FALSE,Lucy the Lobster,Barrington,Nova Scotia,Canada,43.5128603,-65.611397,FALSE,Atlantic lobster,TRUE,FALSE
2019,TRUE,Lucy the Lobster,Barrington,Nova Scotia,Canada,43.5128603,-65.611397,FALSE,Atlantic lobster,TRUE,TRUE
2020,TRUE,Lucy the Lobster,Barrington,Nova Scotia,Canada,43.5128603,-65.611397,FALSE,Atlantic lobster,TRUE,TRUE
2022,TRUE,Lucy the Lobster,Barrington,Nova Scotia,Canada,43.5128603,-65.611397,FALSE,Atlantic lobster,TRUE,TRUE
2023,TRUE,Lucy the Lobster,Barrington,Nova Scotia,Canada,43.5128603,-65.611397,FALSE,Atlantic lobster,TRUE,TRUE
2018,FALSE,Mount Gretna Grady,Mount Gretna,Pennsylvania,USA,40.2467673,-76.4677586,FALSE,Plush groundhog,TRUE,FALSE
2019,FALSE,Mount Gretna Grady,Mount Gretna,Pennsylvania,USA,40.2467673,-76.4677586,FALSE,Plush groundhog,TRUE,FALSE
2020,FALSE,Mount Gretna Grady,Mount Gretna,Pennsylvania,USA,40.2467673,-76.4677586,FALSE,Plush groundhog,TRUE,FALSE
2022,FALSE,Mount Gretna Grady,Mount Gretna,Pennsylvania,USA,40.2467673,-76.4677586,FALSE,Plush groundhog,TRUE,FALSE
2023,FALSE,Mount Gretna Grady,Mount Gretna,Pennsylvania,USA,40.2467673,-76.4677586,FALSE,Plush groundhog,TRUE,FALSE
2020,FALSE,Poppy the Groundhog,Millersville,Pennsylvania,USA,40.1213254,-76.6644525,TRUE,Groundhog,TRUE,FALSE
2021,FALSE,Poppy the Groundhog,Millersville,Pennsylvania,USA,40.1213254,-76.6644525,TRUE,Groundhog,TRUE,FALSE
2022,TRUE,Poppy the Groundhog,Millersville,Pennsylvania,USA,40.1213254,-76.6644525,TRUE,Groundhog,TRUE,TRUE
2023,TRUE,Poppy the Groundhog,Millersville,Pennsylvania,USA,40.1213254,-76.6644525,TRUE,Groundhog,TRUE,TRUE
2020,FALSE,Stumptown Fil,Portland,Oregon,USA,45.5100569,-122.7158264,FALSE,Beaver,TRUE,FALSE
2021,TRUE,Stumptown Fil,Portland,Oregon,USA,45.5100569,-122.7158264,FALSE,Beaver,TRUE,TRUE
2022,FALSE,Stumptown Fil,Portland,Oregon,USA,45.5100569,-122.7158264,FALSE,Beaver,TRUE,FALSE
2023,TRUE,Stumptown Fil,Portland,Oregon,USA,45.5100569,-122.7158264,FALSE,Beaver,TRUE,TRUE
2020,FALSE,Yonah the Groundhog,Cleveland,Georgia,USA,34.6229744,-83.8676887,TRUE,Groundhog,TRUE,FALSE
2021,TRUE,Yonah the Groundhog,Cleveland,Georgia,USA,34.6229744,-83.8676887,TRUE,Groundhog,TRUE,TRUE
2022,FALSE,Yonah the Groundhog,Cleveland,Georgia,USA,34.6229744,-83.8676887,TRUE,Groundhog,TRUE,FALSE
2023,FALSE,Yonah the Groundhog,Cleveland,Georgia,USA,34.6229744,-83.8676887,TRUE,Groundhog,TRUE,FALSE
2021,TRUE,Hope the Groundhog,Hope,Indiana,USA,39.303483,-85.7731068,TRUE,Groundhog,TRUE,TRUE
2022,FALSE,Hope the Groundhog,Hope,Indiana,USA,39.303483,-85.7731068,TRUE,Groundhog,TRUE,FALSE
2023,TRUE,Hope the Groundhog,Hope,Indiana,USA,39.303483,-85.7731068,TRUE,Groundhog,TRUE,TRUE
2021,FALSE,MT Parker,Lancaster,Pennsylvania,USA,40.0588008,-76.3072977,FALSE,Plush groundhog,TRUE,FALSE
2022,TRUE,MT Parker,Lancaster,Pennsylvania,USA,40.0588008,-76.3072977,FALSE,Plush groundhog,TRUE,TRUE
2023,FALSE,MT Parker,Lancaster,Pennsylvania,USA,40.0588008,-76.3072977,FALSE,Plush groundhog,TRUE,FALSE
2022,FALSE,Heaven’s Wildlife Harvey,Oil Springs,Ontario,Canada,42.7669782,-82.1832562,TRUE,Groundhog,TRUE,FALSE
2023,TRUE,Heaven’s Wildlife Harvey,Oil Springs,Ontario,Canada,42.7669782,-82.1832562,TRUE,Groundhog,TRUE,TRUE
2022,FALSE,Lady Edwina of Essex,West Orange,New Jersey,USA,40.7674513,-74.2839038,TRUE,Groundhog,TRUE,FALSE
2023,TRUE,Lady Edwina of Essex,West Orange,New Jersey,USA,40.7674513,-74.2839038,TRUE,Groundhog,TRUE,TRUE
2022,FALSE,Okanagan Okie,Vernon,British Columbia,Canada,50.2400127,-119.2915259,FALSE,Plush yellow-bellied marmot,TRUE,FALSE
2023,FALSE,Okanagan Okie,Vernon,British Columbia,Canada,50.2400127,-119.2915259,FALSE,Plush yellow-bellied marmot,TRUE,FALSE
2022,FALSE,Pisgah Penny,Brevard,North Carolina,USA,35.243478,-82.7769959,FALSE,Tree squirrel,TRUE,FALSE
2023,TRUE,Pisgah Penny,Brevard,North Carolina,USA,35.243478,-82.7769959,FALSE,Tree squirrel,TRUE,TRUE
2022,FALSE,Queen City Charlie,Cumberland,Maryland,USA,39.6528658,-78.7646866,FALSE,Person in a groundhog suit,TRUE,FALSE
2023,FALSE,Queen City Charlie,Cumberland,Maryland,USA,39.6528658,-78.7646866,FALSE,Person in a groundhog suit,TRUE,FALSE
2022,FALSE,Unadilla Billie,Unadilla,Nebraska,USA,40.6834005,-96.2751068,FALSE,Taxidermied groundhog,TRUE,FALSE
2023,TRUE,Unadilla Billie,Unadilla,Nebraska,USA,40.6834005,-96.2751068,FALSE,Taxidermied groundhog,TRUE,TRUE
